id,brand,model,version,reference,city,mileage,startingPrice,soldPrice,status,sourceUrl
1635,PEUGEOT,"2008 BlueHDi","2008 BlueHDi 110 S&S BVM6 Active Pack",11395050,LORIENT,108047,,12100.0,sold,https://vpauto.fr/vehicule/ae5df50744/peugeot-2008-bluehdi-110-ss-bvm6-active-pack
372,PEUGEOT,"2008 PureTech","2008 PureTech 130 S&S EAT8 Allure Pack",11401049,LORIENT,51415,,12900.0,sold,https://vpauto.fr/vehicule/f3bbdaf944/peugeot-2008-puretech-130-ss-eat8-allure-pack
273,PEUGEOT,"2008 PureTech","2008 PureTech 130 S&S BVM6 Active Pack",11409184,LORIENT,134995,,8900.0,sold,https://vpauto.fr/vehicule/ecc25a6844/peugeot-2008-puretech-130-ss-bvm6-active-pack
1333,PEUGEOT,"206 CC","206 CC 1.6i 16V Roland Garros",11403891,LORIENT,118000,100.0,,unsold,https://vpauto.fr/vehicule/926d70c144/peugeot-206-cc-16i-16v-roland-garros
1130,PEUGEOT,"208 208","208 1.6 BlueHDi 75ch BVM5 Active",11403534,LORIENT,125113,,7000.0,sold,https://vpauto.fr/vehicule/ec74e6b44/peugeot-208-16-bluehdi-75ch-bvm5-active
881,PEUGEOT,"208 208","208 1.2 PureTech 82ch BVM5 Active",11403533,LORIENT,109387,,3800.0,sold,https://vpauto.fr/vehicule/ced6716f44/peugeot-208-12-puretech-82ch-bvm5-active
750,PEUGEOT,"208 Electrique","208 Electrique 50 kWh 136ch Allure",11401857,LORIENT,57366,,11600.0,sold,https://vpauto.fr/vehicule/11f53f8044/peugeot-208-electrique-50-kwh-136ch-allure
1861,PEUGEOT,"208 PureTech","208 PureTech 75 S&S BVM5 Style",,LORIENT,0,4300.0,,available,https://vpauto.fr/vehicule/5591c81f44/peugeot-208-puretech-75-ss-bvm5-style
2185,PEUGEOT,"208 PureTech","208 PureTech 100 S&S EAT8 Allure",,LORIENT,160840,8700.0,,available,https://vpauto.fr/vehicule/f979dcd944/peugeot-208-puretech-100-ss-eat8-allure
1727,PEUGEOT,"208 PureTech","208 PureTech 100 S&S BVM6 Active Business",,LORIENT,58335,,,available,https://vpauto.fr/vehicule/9a87330844/peugeot-208-puretech-100-ss-bvm6-active-business
755,PEUGEOT,"208 PureTech","208 PureTech 100 S&S BVM6 Active",11406241,LORIENT,67636,,7400.0,sold,https://vpauto.fr/vehicule/ac5b1744/peugeot-208-puretech-100-ss-bvm6-active
749,PEUGEOT,"208 PureTech","208 PureTech 75 S&S BVM5 Active Business",11382519,LORIENT,42770,,6300.0,sold,https://vpauto.fr/vehicule/c89ea36744/peugeot-208-puretech-75-ss-bvm5-active-business
692,PEUGEOT,"3008 3008","3008 Puretech 130ch S&S BVM6 GT Blanc nacré/toit",11397165,LORIENT,117397,,11600.0,sold,https://vpauto.fr/vehicule/d72771c044/peugeot-3008-puretech-130ch-ss-bvm6-gt
1316,PEUGEOT,"3008 BUSINESS","3008 BlueHDi 130ch S&S BVM6 Allure Business",11401924,LORIENT,100031,11600.0,,unsold,https://vpauto.fr/vehicule/ab5fa6a44/peugeot-3008-bluehdi-130ch-ss-bvm6-allure-business
411,PEUGEOT,"3008 BlueHDi","3008 BlueHDi 130ch S&S EAT8 Active Business",11404308,LORIENT,115701,13200.0,14000.0,sold,https://vpauto.fr/vehicule/9108d85444/peugeot-3008-bluehdi-130ch-ss-eat8-active-business
